config,latency(ms),power(mWatt)
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_1-layer,0.80492275,0.02341003651192571
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_3-layer,0.80493075,0.02342639898966434
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_5-layer,0.8049267500000001,0.02344276648445002
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_6-layer,0.80493075,0.023450947560671943
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_7-layer,0.8049347500000001,0.02345912855558465
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_1-layer,0.809096,0.02345435419220978
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_3-layer,0.8091000000000002,0.023470633745654935
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_5-layer,0.8090980000000001,0.023486916122926218
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_6-layer,0.8091000000000002,0.02349505581915954
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_7-layer,0.809102,0.023503195475152217
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_1-layer,0.8132733750000001,0.02349821139771302
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_3-layer,0.8132753750000001,0.02351440817344353
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_5-layer,0.813274375,0.023530606515413107
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_6-layer,0.8132753750000001,0.023538704863445458
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_7-layer,0.813276375,0.023546803191562448
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_1-layer,0.815364,0.02351997221351772
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_3-layer,0.815366,0.023536127406810523
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_5-layer,0.8153650000000001,0.02355228424228982
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_6-layer,0.815366,0.023560361799307365
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_7-layer,0.8153670000000002,0.0235684393365116
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_1-layer,0.81745475,0.023541618123723393
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_3-layer,0.8174567500000001,0.02355773194508773
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_5-layer,0.8174557500000001,0.023573847483776042
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_6-layer,0.8174567500000001,0.023581904355031835
width_112-height_112-cin_16-cout_96-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_7-layer,0.81745775,0.023589961206575603
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_1-layer,0.27178949999999996,0.0233673549357867
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_3-layer,0.27179075,0.023383516850210742
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_5-layer,0.27179012499999994,0.023399670174044783
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_6-layer,0.27179075,0.023407751056945855
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_1-wb_7-layer,0.2717915,0.0234158211334748
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_1-layer,0.28015074999999995,0.0234064357742715
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_3-layer,0.28015149999999994,0.02342210202485179
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_5-layer,0.280151125,0.023437779910490522
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_6-layer,0.28015149999999994,0.023445612993824617
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_3-wb_7-layer,0.28015175,0.023453456520805577
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_1-layer,0.28851274999999993,0.023443243840239745
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_3-layer,0.288513125,0.023458459759462685
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_5-layer,0.28851374999999996,0.023637231586125795
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_6-layer,0.288514125,0.023644837367129724
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_5-wb_7-layer,0.28851437499999993,0.02365245337587728
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_1-layer,0.29269412499999997,0.0234608554244564
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_3-layer,0.2926945,0.023475853949541138
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_5-layer,0.292695125,0.023652071846007823
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_6-layer,0.29269549999999994,0.023659568953705735
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_6-wb_7-layer,0.29269575,0.023667076149559783
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_1-layer,0.2968755,0.023477970904158162
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_3-layer,0.29687574999999994,0.023492768051208663
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_5-layer,0.29687649999999993,0.0236664940688161
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_6-layer,0.29687674999999997,0.023673895532856704
width_112-height_112-cin_32-cout_16-kernel_1-stride_1-pad_SAME-group_1-fb_7-wb_7-layer,0.296877125,0.023681287013430728
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_1-wb_1-layer,0.2741495,0.025297936489731977
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_1-wb_3-layer,0.27416274999999996,0.02558613097725698
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_1-wb_5-layer,0.27417212499999993,0.025874326515933306
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_1-wb_6-layer,0.27417874999999997,0.02601840142339212
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_1-wb_7-layer,0.2741855,0.026162457441077164
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_3-wb_1-layer,0.28721349999999995,0.025969222374191747
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_3-wb_3-layer,0.28722549999999997,0.026244284933067633
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_3-wb_5-layer,0.28723550000000003,0.026519348426240062
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_3-wb_6-layer,0.2872415,0.026656860553651643
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_3-wb_7-layer,0.28724749999999993,0.026794366936381264
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_5-wb_1-layer,0.30027875,0.026582089609299194
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_5-wb_3-layer,0.300290125,0.026845164696411863
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_5-wb_5-layer,0.451621125,0.021585238795927452
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_5-wb_6-layer,0.45162712499999996,0.021672764084413328
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_5-wb_7-layer,0.451633125,0.021760287047331385
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_6-wb_1-layer,0.30681212499999994,0.026868933960245915
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_6-wb_3-layer,0.30682349999999997,0.027126396598990837
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_6-wb_5-layer,0.45162149999999995,0.022688538123322836
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_6-wb_6-layer,0.4516275,0.022776048681487925
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_6-wb_7-layer,0.45163349999999997,0.022863556914478524
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_7-wb_1-layer,0.3133455,0.02714381667963022
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_7-wb_3-layer,0.31335675,0.02739591226756667
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_7-wb_5-layer,0.45162175,0.023791842203600866
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_7-wb_6-layer,0.45162774999999994,0.02387933805562331
width_112-height_112-cin_32-cout_32-kernel_3-stride_1-pad_SAME-group_32-fb_7-wb_7-layer,0.45163375,0.023966831582863272
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_1-wb_1-layer,0.21492912500000005,0.026251162269559952
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_1-wb_3-layer,0.21503312499999994,0.027076661854145433
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_1-wb_5-layer,0.338789,0.023490135528291642
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_1-wb_6-layer,0.33880774999999996,0.023755099466505964
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_1-wb_7-layer,0.338826375,0.02402004294102481
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_3-wb_1-layer,0.243243125,0.02793287847263353
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_3-wb_3-layer,0.33886174999999996,0.024413542280644386
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_3-wb_5-layer,0.508128125,0.02499916448690716
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_3-wb_6-layer,0.5081461249999999,0.02517572024040718
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_3-wb_7-layer,0.508164125,0.02535226348612317
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_5-wb_1-layer,0.33876787500000005,0.02626233861188346
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_5-wb_3-layer,0.508200875,0.020457749088301135
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_5-wb_5-layer,1.016162375,0.01779696251956898
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_5-wb_6-layer,1.016180375,0.017885377690569408
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_5-wb_7-layer,1.0161983749999999,0.01797378972936039
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_6-wb_1-layer,0.33876937500000004,0.028335985555343557
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_6-wb_3-layer,0.5082013750000001,0.022234053570772433
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_6-wb_5-layer,1.016162625,0.02559436973515612
width_112-height_112-cin_96-cout_96-kernel_3-stride_2-pad_SAME-group_96-fb_6-wb_6-layer,1.016180625,0.025682646765918266
